utc_dt_naive,ut_p_kw,ut_pos_ltea_kwh,ut_neg_ltea_kwh,ba_p_kw,ba_pos_ltea_kwh,ba_neg_ltea_kwh,pv_p_kw,pv_pos_ltea_kwh,pv_neg_ltea_kwh
2021-01-10 21:05:30,-63.120000000000005,2383104.69172676,34138.92433049696,236.49,135897.85407083007,189516.75843783084,60.59,658891.2152555477,3.5
2021-01-10 21:05:32,-63.230000000000004,2383104.69172676,34138.958635905656,236.41,135897.98252221587,189516.75843783084,60.61,658891.2481796533,3.5
2021-01-10 21:05:34,-63.88,2383104.69172676,34138.99021251714,236.36,135898.10032374554,189516.75843783084,60.59,658891.2783725694,3.5
2021-01-10 21:05:36,-64.8,2383104.69172676,34139.03696145924,236.36,135898.27247406862,189516.75843783084,60.550000000000004,658891.3224896721,3.5
2021-01-10 21:05:38,-63.1,2383104.69172676,34139.06910759271,236.3,135898.39166136907,189516.75843783084,60.550000000000004,658891.3530191579,3.5
2021-01-10 21:05:40,-64.51,2383104.69172676,34139.1032103965,236.28,135898.51738965802,189516.75843783084,60.56,658891.3852402637,3.5
2021-01-10 21:05:42,-63.0,2383104.69172676,34139.1407600747,235.39000000000001,135898.65733327944,189516.75843783084,60.550000000000004,658891.4211773886,3.5
2021-01-10 21:05:44,-61.61,2383104.69172676,34139.16712164266,235.33,135898.75637365627,189516.75843783084,60.53,658891.4466470169,3.5
2021-01-10 21:05:46,-61.77,2383104.69172676,34139.21204592414,235.4,135898.92757675887,189516.75843783084,60.51,658891.4906590965,3.5
2021-01-10 21:05:48,-63.190000000000005,2383104.69172676,34139.23612320269,235.39000000000001,135899.01726743294,189516.75843783084,60.5,658891.5137113931,3.5
2021-01-10 21:05:50,-61.25,2383104.69172676,34139.2784648764,235.04,135899.17678788843,189516.75843783084,60.44,658891.5547489577,3.5
2021-01-10 21:05:52,-60.58,2383104.69172676,34139.307980756,234.64000000000001,135899.29038697475,189516.75843783084,60.42,658891.5839669034,3.5
2021-01-10 21:05:54,-64.84,2383104.69172676,34139.33856284538,234.63,135899.4010581627,189516.75843783084,60.410000000000004,658891.612460272,3.5
2021-01-10 21:05:56,-63.36,2383104.69172676,34139.38675760999,234.62,135899.58003117077,189516.75843783084,60.36,658891.6585117942,3.5
2021-01-10 21:05:58,,,,234.58,135899.71034719094,189516.75843783084,60.33,658891.6920290535,3.5
2021-01-10 21:06:00,-63.27,2383104.69172676,34139.45290857622,234.35,135899.82414383013,189516.75843783084,60.33,658891.721319863,3.5
2021-01-10 21:06:02,-62.46,2383104.69172676,34139.49230378559,233.3,135899.9704692544,189516.75843783084,60.29,658891.7590462297,3.5
2021-01-10 21:06:04,-61.15,2383104.69172676,34139.52351573784,232.82,135900.08899805095,189516.75843783084,60.24,658891.7897133386,3.5
2021-01-10 21:06:06,-60.84,2383104.69172676,34139.55975304003,232.41,135900.22892713844,189516.75843783084,60.230000000000004,658891.8259789642,3.5
